pid_true,smiles,Tg (K),Tg (experimental) (K),Tg source,density (kg/m^3),density (std dev) ,density (experimental) (kg/m^3),density source,Order parameter,ree (nm),ree (std dev),rg (nm),rg (std dev),Delta RDF,Steps,Equilibrated?,pid (old)
W01_P070,[*]C(=O)c1ccc(C(=O)NCCCCCCN[*])cc1,320.7895,413,[1],1150.5852,1.4936,1210,[1],0.056535,5.931260539,0.02,2.1834,0.0032,0.0159,2,TRUE,W01_P099
W01_P071,C1=CC(=CC=C1[*])S(=O)(=O)C2=CC=C(C=C2)O[*],381.9726,493,[1],1329.7301,1.7978,1370,[1],0.023602,5.129745355,0.0203,1.97,0.0026,0.0077,2,TRUE,W01_P100
W01_P072,[*]C1=CC=C(C=C1)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=C(C=C3)C4=CC=C(C=C4)O[*],380.0621,493,[1],1249.7669,1.8135,1290,[1],0.059292,7.214242657,0.0289,2.6554,0.0035,0.0096,3,TRUE,W01_P101
W01_P073,[*]c1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(O[*])cc4)cc3)cc2)cc1,420.028,458,[1],1202.2991,1.7199,1240,[1],0.020231,7.940282418,0.0295,2.9816,0.0034,0.0084,2,TRUE,W01_P104
W01_P074,[*]Nc1ccc(Nc2ccc(Nc3ccc(Nc4ccc(C[*])cc4)cc3)cc2)cc1,402.2383,474,[2],1186.2452,1.6065,1360,[12],0.048866,9.389738262,0.0213,3.46,0.0033,0.0137,2,TRUE,W01_P107
W01_P075,[*]NCCCCCCCCCCC(=O)[*],256.7376,315,[2],968.4281,1.8647,1010,[2],0.033395,5.755405395,0.0401,2.1581,0.0044,0.0185,3,TRUE,W01_P109
W01_P076,[*]C(C)C(=O)O[*],370.7403,330,[2],1214.4805,1.7086,1248,[2],0.007492,2.349957243,0.0133,1.0325,0.002,0.018,2,TRUE,W01_P110
W01_P077,[*]CC(C(=O)NC(C)C)[*],327.8209,407,[1],1010.5425,1.7338,1070,[1],0.035041,2.447492707,0.0166,1.0385,0.0025,0.02,2,TRUE,W01_P112
W01_P078,[*]CC(OC(C)C)[*],231.3286,265.5,[2],927.1731,2.1123,925,[2],0.007067,2.304192907,0.0294,0.9274,0.0033,0.0074,2,TRUE,W01_P113
W01_P079,[*]C1C(O1)COC2=CC=CC=C2[*],355.8666,282,[1],1177.3427,1.8746,1109,[13],0.006493,3.105255744,0.037,1.3044,0.0026,0.0083,2,TRUE,W01_P114
